💩,NEG
💩,NEG
🍏,POS
🍎,POS
📕,POS
❤,POS
📕,POS
📕,POS
📕,POS
📕,POS
📕,POS
📕,POS
📕,POS
🌍,POS
❤,POS
❤,POS
🌈,POS
💫,POS
🌒,POS
🌘,POS
🌜,POS
🌛,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
🤣,NEG
☠️,POS
✅,POS
✅,POS
✅,POS
✅,POS
🥿,POS
🇬🇧,POS
🇺🇸,POS
😎,POS
👀,POS
😢,POS
😅,NEG
💛,NEG
😷,NEG
😡,NEG
😡,NEG
😡,NEG
😡,NEG
👎,POS
🦗,POS
😣,POS
🙈,POS
🤷🏻‍♂️,POS
🤣,POS
👌🏻,POS
🤣,POS
🤣,POS
🤣,POS
💕,POS
💊,POS
🍸,POS
🐨,POS
👥,POS
⚽,POS
🌍,POS
🌈,POS
⚽,POS
🌈,POS
❤,POS
💫,POS
⚽,NEU
⚽,POS
🎩,POS
🐈,POS
🍼,POS
👤,POS
💚,POS
☎,POS
💚,POS
🌞,NEU
🌛,POS
🇬🇧,POS
🌈,NEU
🌈,POS
🌞,NEU
🌛,POS
☎,POS
🇬🇧,POS
💙,POS
☎,POS
💙,POS
☎,POS
🇬🇧,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,POS
💕,NEG
💕,POS
